"channeltitle","trending_appearances","total_views","avg_engagement_rate"
"Techno Gamerz",1102,5528761268,0.0870
"Live Insaan",434,916514196,0.0980
"Free Fire India Official",390,1653308990,0.0570
"BATTLEGROUNDS MOBILE INDIA",358,899256751,0.0772
"Total Gaming",331,647338112,0.1256
"MrGamerJay",316,240564077,0.0649
"SlayyPop",309,418746924,0.0886
"YesSmartyPie",303,645222599,0.1189
"Clash of Clans",301,1360483027,0.0227
"Mythpat",245,757037545,0.1169
"ProBoiz 95",229,330511879,0.0559
"DREAM BOY",207,136736831,0.0924
"The RawKnee Games",202,129106963,0.0842
"Ezio18rip",202,179236508,0.0972
"Desi Gamers",200,287178662,0.1388
"Ujjwal",193,594705054,0.0881
"Adi-Spot",187,68451438,0.0449
"TheLoudDude",180,139258183,0.0208
"Carry Depie",179,111332310,0.0388
"Judo Sloth Gaming",179,170331147,0.0393
"Chapati Hindustani Gamer",177,199013209,0.0810
"A_S Gaming",162,346169490,0.1277
"Snax Gaming",157,66495566,0.1393
"Anshu Bisht",148,179971829,0.0986
"JONATHAN GAMING",145,192478890,0.1237
"MineFlux",135,50806432,0.0586
"I. M. Bixu",133,113349451,0.1112
"Mc flame",126,57660105,0.0334
"MortaL",120,92322031,0.1280
"Risible Twins",119,30996599,0.1096
