"country","category_name","video_count","avg_engagement_rate","total_views","total_likes"
"India","Gaming",14735,0.0854,26797388408,2182015182
"India","Travel & Events",1712,0.0761,2010646496,147345569
"India","Comedy",18155,0.0739,46616953820,3327779040
"India","Science & Technology",7566,0.0707,22197846610,1491676043
"India","People & Blogs",41079,0.0643,93379970189,5839924555
"India","Nonprofits & Activism",90,0.0596,87655042,5133484
"India","Education",5955,0.0584,9363034886,527286775
"India","Pets & Animals",110,0.0565,1010784275,56991591
"India","Music",32609,0.0559,177733370154,8868482561
"India","Howto & Style",8065,0.0524,11028224746,563041610
"India","Autos & Vehicles",1597,0.0477,1772420930,82961798
"India","Entertainment",98264,0.0423,254413986183,10353634748
"India","Sports",7306,0.0305,18896326504,548483282
"India","Film & Animation",6491,0.0286,28699512014,776217071
"India","News & Politics",7543,0.0205,8024140806,149161688
