"country","category_name","month","video_count","avg_engagement_rate"
"India","Autos & Vehicles","2020-08-01 00:00:00",27,0.0333
"India","Autos & Vehicles","2020-09-01 00:00:00",46,0.0324
"India","Autos & Vehicles","2020-10-01 00:00:00",18,0.0196
"India","Autos & Vehicles","2020-11-01 00:00:00",36,0.0287
"India","Autos & Vehicles","2020-12-01 00:00:00",17,0.0939
"India","Autos & Vehicles","2021-01-01 00:00:00",36,0.0535
"India","Autos & Vehicles","2021-02-01 00:00:00",18,0.0347
"India","Autos & Vehicles","2021-03-01 00:00:00",26,0.0431
"India","Autos & Vehicles","2021-04-01 00:00:00",24,0.0546
"India","Autos & Vehicles","2021-05-01 00:00:00",10,0.0709
"India","Autos & Vehicles","2021-06-01 00:00:00",71,0.0440
"India","Autos & Vehicles","2021-07-01 00:00:00",26,0.0532
"India","Autos & Vehicles","2021-08-01 00:00:00",52,0.0290
"India","Autos & Vehicles","2021-09-01 00:00:00",38,0.0499
"India","Autos & Vehicles","2021-10-01 00:00:00",55,0.0701
"India","Autos & Vehicles","2021-11-01 00:00:00",54,0.0512
"India","Autos & Vehicles","2021-12-01 00:00:00",43,0.0457
"India","Autos & Vehicles","2022-01-01 00:00:00",52,0.0525
"India","Autos & Vehicles","2022-02-01 00:00:00",23,0.0723
"India","Autos & Vehicles","2022-03-01 00:00:00",15,0.0279
"India","Autos & Vehicles","2022-04-01 00:00:00",38,0.0358
"India","Autos & Vehicles","2022-05-01 00:00:00",26,0.0468
"India","Autos & Vehicles","2022-06-01 00:00:00",37,0.0299
"India","Autos & Vehicles","2022-07-01 00:00:00",50,0.0354
"India","Autos & Vehicles","2022-08-01 00:00:00",26,0.0655
"India","Autos & Vehicles","2022-09-01 00:00:00",20,0.0390
"India","Autos & Vehicles","2022-10-01 00:00:00",36,0.0407
"India","Autos & Vehicles","2022-11-01 00:00:00",40,0.0253
"India","Autos & Vehicles","2022-12-01 00:00:00",34,0.0213
"India","Autos & Vehicles","2023-01-01 00:00:00",42,0.0275
"India","Autos & Vehicles","2023-02-01 00:00:00",37,0.0251
"India","Autos & Vehicles","2023-03-01 00:00:00",44,0.0327
"India","Autos & Vehicles","2023-04-01 00:00:00",21,0.0105
"India","Autos & Vehicles","2023-05-01 00:00:00",34,0.0258
"India","Autos & Vehicles","2023-06-01 00:00:00",47,0.0471
"India","Autos & Vehicles","2023-07-01 00:00:00",72,0.0218
"India","Autos & Vehicles","2023-08-01 00:00:00",24,0.0205
"India","Autos & Vehicles","2023-09-01 00:00:00",66,0.0213
"India","Autos & Vehicles","2023-10-01 00:00:00",30,0.0269
"India","Autos & Vehicles","2023-11-01 00:00:00",21,0.0195
"India","Autos & Vehicles","2023-12-01 00:00:00",29,0.0105
"India","Autos & Vehicles","2024-01-01 00:00:00",54,0.0226
"India","Autos & Vehicles","2024-02-01 00:00:00",41,0.0118
"India","Autos & Vehicles","2024-03-01 00:00:00",28,0.0112
"India","Autos & Vehicles","2024-04-01 00:00:00",13,0.0179
"India","Comedy","2020-08-01 00:00:00",304,0.0963
"India","Comedy","2020-09-01 00:00:00",599,0.0809
"India","Comedy","2020-10-01 00:00:00",493,0.1012
"India","Comedy","2020-11-01 00:00:00",395,0.0931
"India","Comedy","2020-12-01 00:00:00",481,0.1012
"India","Comedy","2021-01-01 00:00:00",534,0.0810
"India","Comedy","2021-02-01 00:00:00",373,0.0864
"India","Comedy","2021-03-01 00:00:00",432,0.0854
"India","Comedy","2021-04-01 00:00:00",355,0.0861
"India","Comedy","2021-05-01 00:00:00",372,0.1030
"India","Comedy","2021-06-01 00:00:00",726,0.0686
"India","Comedy","2021-07-01 00:00:00",446,0.0726
"India","Comedy","2021-08-01 00:00:00",416,0.0875
"India","Comedy","2021-09-01 00:00:00",356,0.0852
"India","Comedy","2021-10-01 00:00:00",389,0.0681
"India","Comedy","2021-11-01 00:00:00",349,0.0632
"India","Comedy","2021-12-01 00:00:00",399,0.0605
"India","Comedy","2022-01-01 00:00:00",482,0.0564
"India","Comedy","2022-02-01 00:00:00",551,0.0819
"India","Comedy","2022-03-01 00:00:00",637,0.0802
"India","Comedy","2022-04-01 00:00:00",589,0.0627
"India","Comedy","2022-05-01 00:00:00",560,0.0762
"India","Comedy","2022-06-01 00:00:00",528,0.0664
"India","Comedy","2022-07-01 00:00:00",558,0.0579
"India","Comedy","2022-08-01 00:00:00",596,0.0712
"India","Comedy","2022-09-01 00:00:00",562,0.0588
"India","Comedy","2022-10-01 00:00:00",380,0.0814
"India","Comedy","2022-11-01 00:00:00",319,0.0620
"India","Comedy","2022-12-01 00:00:00",280,0.0694
"India","Comedy","2023-01-01 00:00:00",295,0.0663
"India","Comedy","2023-02-01 00:00:00",293,0.1003
"India","Comedy","2023-03-01 00:00:00",391,0.0771
"India","Comedy","2023-04-01 00:00:00",255,0.0610
"India","Comedy","2023-05-01 00:00:00",364,0.0589
"India","Comedy","2023-06-01 00:00:00",318,0.0818
"India","Comedy","2023-07-01 00:00:00",369,0.0827
"India","Comedy","2023-08-01 00:00:00",291,0.0566
"India","Comedy","2023-09-01 00:00:00",226,0.0618
"India","Comedy","2023-10-01 00:00:00",235,0.0664
"India","Comedy","2023-11-01 00:00:00",295,0.0784
"India","Comedy","2023-12-01 00:00:00",391,0.0838
"India","Comedy","2024-01-01 00:00:00",274,0.0642
"India","Comedy","2024-02-01 00:00:00",280,0.0712
"India","Comedy","2024-03-01 00:00:00",290,0.0657
"India","Comedy","2024-04-01 00:00:00",127,0.0612
"India","Education","2020-08-01 00:00:00",101,0.0535
"India","Education","2020-09-01 00:00:00",78,0.0481
"India","Education","2020-10-01 00:00:00",77,0.0565
"India","Education","2020-11-01 00:00:00",99,0.0316
"India","Education","2020-12-01 00:00:00",131,0.0674
"India","Education","2021-01-01 00:00:00",118,0.0630
"India","Education","2021-02-01 00:00:00",85,0.0760
"India","Education","2021-03-01 00:00:00",132,0.0430
"India","Education","2021-04-01 00:00:00",110,0.0528
"India","Education","2021-05-01 00:00:00",82,0.0483
"India","Education","2021-06-01 00:00:00",162,0.0448
"India","Education","2021-07-01 00:00:00",139,0.0312
"India","Education","2021-08-01 00:00:00",119,0.0124
"India","Education","2021-09-01 00:00:00",191,0.0698
"India","Education","2021-10-01 00:00:00",187,0.0770
"India","Education","2021-11-01 00:00:00",226,0.0655
"India","Education","2021-12-01 00:00:00",214,0.0956
"India","Education","2022-01-01 00:00:00",173,0.0949
