"country","category_name","video_count","avg_engagement_rate","total_views","total_likes"
"US","Comedy",13183,0.0713,20973894330,1421511084
"US","Music",43398,0.0690,187961685402,11747782598
"US","People & Blogs",22653,0.0587,39248710818,2162051659
"US","Gaming",53242,0.0579,89237040850,4803658908
"US","Education",6655,0.0576,10835449070,588356981
"US","Howto & Style",7100,0.0545,8759827539,444508650
"US","Autos & Vehicles",5492,0.0491,5293241454,241302280
"US","Travel & Events",1713,0.0490,1570697163,72622916
"US","Nonprofits & Activism",120,0.0490,279970874,12837346
"US","Entertainment",53934,0.0449,239329817128,10193640511
"US","Film & Animation",10923,0.0405,29869388113,1129468430
"US","Science & Technology",8156,0.0405,22461244247,862288851
"US","Pets & Animals",1222,0.0389,1631903665,59646436
"US","Sports",31327,0.0251,58797298266,1357567581
"US","News & Politics",9669,0.0157,18739069361,240113339
